beacon,badge_address,location,notes,x,y
1,8D:68:58:84:BE:C5,Room 1,,18.7163384987,2.7888532612
2,C6:22:FD:72:19:A7,Room 2,,17.1302081174,6.0067608702
3,90:7C:EB:57:D0:16,Room 3,,14.8831900773,8.9028777183
4,E7:E4:1E:F3:31:89,Room 4,,13.3234952024,12.1207853273
5,CB:DD:3F:58:69:B2,Room 5,,11.7109293149,15.3118770396
6,E1:6D:62:C2:21:1D,Room 6,,9.8075728574,18.5297846486
7,44:69:42:09:99:E9,Classroom,,28.2066852798,14.9900862787
8,C2:C2:B6:92:05:B5,Classroom,,32.0133981948,24.9924157634
9,1B:88:7E:E0:CB:4E,Classroom,,20.5932594498,30.1142520411
10,11:F5:73:46:26:54,Food,,17.4474341937,23.0884870948
11,1F:64:BA:1B:85:3C,Reception area,,3.4630513324,37.8908620963
12,F8:8D:B2:94:6A:19,Reception area,,9.8075728574,29.4974864161
13,DB:D9:2F:BF:2F:84,Reception area,,11.3937032386,24.6438091058
